year,month,rank_GPA,nstocks,ret_vw
1973,8,5,275,-1.3995
1973,8,6,246,-4.4255
1973,8,7,247,-2.8069
1973,8,8,265,-2.5813
1973,8,9,321,-5.4029
1973,8,10,305,-4.0079
1973,9,1,234,6.2542
1973,9,2,212,11.3570
1973,9,3,237,9.1324
1973,9,4,218,9.3201
1973,9,5,273,10.5725
1973,9,6,246,7.4707
1973,9,7,247,6.3787
1973,9,8,263,3.0206
1973,9,9,321,5.8145
1973,9,10,304,-3.1731
1973,10,1,235,-0.8985
1973,10,2,211,0.3405
1973,10,3,237,-0.4084
1973,10,4,218,4.6200
1973,10,5,272,-0.1788
1973,10,6,246,-0.8315
1973,10,7,247,-1.4630
1973,10,8,262,-0.2650
1973,10,9,321,-1.4465
1973,10,10,302,1.0779
1973,11,1,236,-10.8302
1973,11,2,211,-11.0766
1973,11,3,237,-9.7091
1973,11,4,218,-10.4151
1973,11,5,273,-14.2123
1973,11,6,247,-13.6346
1973,11,7,247,-14.5050
1973,11,8,262,-15.0117
1973,11,9,320,-13.8455
1973,11,10,303,-9.8254
1973,12,1,235,3.7531
1973,12,2,210,6.8107
1973,12,3,236,8.7570
1973,12,4,218,5.0570
1973,12,5,271,4.6388
1973,12,6,246,3.8743
1973,12,7,246,-2.6050
1973,12,8,262,-0.6551
1973,12,9,320,-2.8039
1973,12,10,301,-4.3061
1974,1,1,234,3.0692
1974,1,2,211,2.4784
1974,1,3,235,-1.1981
1974,1,4,217,-3.5084
1974,1,5,271,-0.0013
1974,1,6,247,-1.2825
1974,1,7,246,2.1355
1974,1,8,261,1.8160
1974,1,9,320,1.3992
1974,1,10,300,-0.9149
1974,2,1,232,0.7933
1974,2,2,211,1.6314
1974,2,3,234,1.7733
1974,2,4,215,2.4748
1974,2,5,269,0.3969
1974,2,6,246,-0.0785
1974,2,7,245,0.3277
1974,2,8,260,-1.2847
1974,2,9,318,-0.4042
1974,2,10,301,-1.7502
1974,3,1,231,-4.3169
1974,3,2,210,-5.4396
1974,3,3,236,-3.0332
1974,3,4,215,-3.5880
1974,3,5,267,-0.8937
1974,3,6,244,-0.5261
1974,3,7,245,-2.0097
1974,3,8,257,-0.7142
1974,3,9,317,-1.9381
1974,3,10,298,-0.8657
1974,4,1,231,-10.2273
1974,4,2,210,-7.3289
1974,4,3,235,-4.4980
1974,4,4,214,-4.2612
1974,4,5,268,-2.8874
1974,4,6,245,-2.8518
1974,4,7,243,-3.1206
1974,4,8,257,-3.4335
1974,4,9,317,-1.9406
1974,4,10,298,-2.9190
1974,5,1,230,-7.1724
1974,5,2,210,-6.2543
1974,5,3,235,-5.3578
1974,5,4,214,-6.7333
1974,5,5,268,-3.5540
1974,5,6,243,-3.4801
1974,5,7,243,-0.8828
1974,5,8,256,-0.1214
1974,5,9,316,-1.5793
1974,5,10,295,-0.6247
1974,6,1,230,-7.2729
1974,6,2,210,-0.6032
1974,6,3,233,0.3610
1974,6,4,213,-2.8989
1974,6,5,266,-0.1838
1974,6,6,243,-1.9397
1974,6,7,242,-1.1103
1974,6,8,256,-2.8664
1974,6,9,316,-0.2343
1974,6,10,296,-1.3933
1974,7,1,273,-1.7032
1974,7,2,259,-2.2976
1974,7,3,287,-5.5352
1974,7,4,260,-4.0418
1974,7,5,318,-3.8427
